symbol,weekly,market_cap
C2,2018-37w,75469.2335402
C20,2018-37w,25572805.202357143
REP,2018-37w,150368585.7142857
MAY,2018-37w,24852.16416217143
CAB,2018-37w,14435.0268772
DCR,2018-37w,313421286.79742855
TIME,2018-37w,3860593.220512857
ANC,2018-37w,1900735.5664342858
ATL,2018-37w,1631868.8156928571
NIX,2018-37w,14590493.028628571
KRL,2018-37w,490370.3879528571
BELA,2018-37w,985734.5644725714
UP,2018-37w,4283764.314891429
MAX,2018-37w,1477213.331222857
ETP,2018-37w,166043444.343
POLIS,2018-37w,3664846.2920585712
PHR,2018-37w,6855803.98771
SHDW,2018-37w,67698.19
AMS,2018-37w,46546.55774312857
WAXP,2018-37w,56549294.23558571
ELEC,2018-37w,4087839.093405714
INT,2018-37w,9764916.33626
RDD,2018-37w,102447693.8001
SNT,2018-37w,114046096.25271429
FRC,2018-37w,147114.07098699998
UTT,2018-37w,13647777.897057144
PHX,2018-37w,9669780.546044286
AOA,2018-37w,65821111.55474286
FREED,2018-37w,220944.18055657143
QTUM,2018-37w,305985452.133
IQ,2018-37w,97713.35350780001
BUZZ,2018-37w,1105565.122253857
SLS,2018-37w,15773176.239357144
POA,2018-37w,13420912.93137143
0xBTC,2018-37w,1864036.2614785715
DDD,2018-37w,35131176.97312857
WAVES,2018-37w,229687571.42857143
DCY,2018-37w,431897.6385955714
UQC,2018-37w,4020172.8571428573
RYO,2018-37w,623877.1494921428
YTN,2018-37w,29521.993909957142
POE,2018-37w,19064879.021214288
ICX,2018-37w,239826862.50285715
ABYSS,2018-37w,2605930.8107100003
ANT,2018-37w,21117828.083257142
OST,2018-37w,11792980.607585715
XEM,2018-37w,816235071.3378571
NIOX,2018-37w,1228557.6258742858
SEND,2018-37w,1123941.538937
KAN,2018-37w,12882558.805142859
EVX,2018-37w,6228438.857142857
CHP,2018-37w,3138190.50893
DASH,2018-37w,1595587269.4657142
DRT,2018-37w,2819822.46
TRST,2018-37w,1910316.4044642858
WGR,2018-37w,31133842.285714287
LIKE,2018-37w,1627082.6814057142
XOV,2018-37w,184875.20524457144
PXC,2018-37w,211552.1266787143
SWTH,2018-37w,3725409.2115657143
XPTX,2018-37w,424041.4712047143
TROLL,2018-37w,378536.0529045714
CREVA,2018-37w,4502.7876168
OPAL,2018-37w,322142.47856928565
ZIL,2018-37w,263010746.169
ZRX,2018-37w,297632682.61457145
QBT,2018-37w,2469291.5592571427
HYDRO,2018-37w,10692800.925332857
CRM,2018-37w,183489.0506677143
CVT,2018-37w,21497598.9201
IETH,2018-37w,232081.60037142856
XPA,2018-37w,2000963.9939342856
NULS,2018-37w,47667542.85714286
GEN,2018-37w,3225587.4999414287
IC,2018-37w,422003.80712199997
YOC,2018-37w,2919578.574052857
AGIX,2018-37w,21491631.81832857
IOST,2018-37w,99164040.0
EDRC,2018-37w,251973.91194114284
TRTL,2018-37w,845556.7337662857
TOMO,2018-37w,12003192.142857144
BANCA,2018-37w,4661986.317799999
HVN,2018-37w,10964898.214285715
SHND,2018-37w,3830693.5624757144
XNO,2018-37w,298896090.2657143
CXT,2018-37w,16293.659588571429
COV,2018-37w,13187537.5
BBP,2018-37w,584958.4674138571
MTH,2018-37w,4274504.139925715
AUC,2018-37w,792173.5277477142
NYC,2018-37w,3531930.8412114284
COVAL,2018-37w,2541924.285714286
ONT,2018-37w,335572650.4327143
SWT,2018-37w,2177029.5807885714
ADI,2018-37w,350334.2350152857
TRUE,2018-37w,24189837.634642858
GNX,2018-37w,14976580.860628571
FGC,2018-37w,438036.7881021429
CPC,2018-37w,13826074.21562857
TCH,2018-37w,76862.49157981428
CXO,2018-37w,3255865.0222728574
AID,2018-37w,2327671.2401185716
SPD,2018-37w,3680028.577716786
LA,2018-37w,5428297.036632857
LINK,2018-37w,92277900.0
PUT,2018-37w,716074.9477936429
NTRN,2018-37w,980421.9626042858
LET,2018-37w,5360322.0
ZAP,2018-37w,1695125.353407143
TONE,2018-37w,5076906.4500814285
BAX,2018-37w,10529153.999517143
ONX,2018-37w,241698.7532975714
IBANK,2018-37w,9802.79567654
LCC,2018-37w,18980279.7186
AEON,2018-37w,12309079.481257142
QBC,2018-37w,56746.62613329999
IGNIS,2018-37w,30106700.99074286
MTN,2018-37w,4316760.928571428
PZM,2018-37w,32107034.078785714
GBYTE,2018-37w,41164118.09071428
STAK,2018-37w,337872.31496814283
CTL,2018-37w,281284.2833838571
TRAC,2018-37w,9217128.362655714
GSC,2018-37w,4565371.768715714
AUR,2018-37w,3398521.15535
RBIES,2018-37w,141845.76188685716
RBY,2018-37w,9304740.250632856
LBC,2018-37w,10348719.751314286
AE,2018-37w,217514557.5492857
EMC,2018-37w,49027558.3992
LBA,2018-37w,7398388.217757143
ETC,2018-37w,1165440232.9357142
TCT,2018-37w,13698050.081728572
SPR,2018-37w,1071841.4414052856
CTXC,2018-37w,44043369.43112857
WICC,2018-37w,34024187.839914285
ADS,2018-37w,3119719.980467143
NXS,2018-37w,49602679.207899995
JUP,2018-37w,1405789.3467214287
PXI,2018-37w,36072.63461784286
LANA,2018-37w,277184.36716285715
FDZ,2018-37w,1906780.7639014286
LEDU,2018-37w,2224018.990361429
TRC,2018-37w,2125928.42122
CRW,2018-37w,4021424.0766185713
CS,2018-37w,28348263.598828573
NXT,2018-37w,63616159.28951429
GSR,2018-37w,3960.3389785328573
GO,2018-37w,27232819.485542856
XPD,2018-37w,782267.6879031428
CVC,2018-37w,37433606.85757143
WTC,2018-37w,127170657.36442856
MTL,2018-37w,20565825.622042857
LDOGE,2018-37w,1078141.1956711428
ZER,2018-37w,876931.1757387144
NAV,2018-37w,14397808.226471428
CSC,2018-37w,13660738.110828573
NVC,2018-37w,7571818.41115
SPK,2018-37w,71299.09890735714
DOV,2018-37w,7826181.848555714
GB,2018-37w,96865.61234101429
CURE,2018-37w,2411746.2752242857
XPM,2018-37w,18710582.399142858
RED,2018-37w,1759394.1258642857
CRPT,2018-37w,26443104.311242856
AION,2018-37w,93773517.95482858
ENT,2018-37w,44786.24266967143
JS,2018-37w,19054.623423150002
AVT,2018-37w,2314800.8571428573
ICOB,2018-37w,21559.134235903333
NPXS,2018-37w,160526367.2915714
REN,2018-37w,17477683.196071427
EXP,2018-37w,3651807.9908928573
LTCR,2018-37w,20733.873715116668
CLOAK,2018-37w,9473040.40539
BCH,2018-37w,7813675619.097143
TNC,2018-37w,3201876.1872742856
LTC,2018-37w,3192254115.194286
NRG,2018-37w,1588619.8491228572
CLO,2018-37w,3765015.8342342856
EOS,2018-37w,4717376102.97
TX,2018-37w,1475184.5586914285
FKX,2018-37w,881471.7486157141
LSK,2018-37w,384264368.02400005
PRIV,2018-37w,142459.28519657144
QKC,2018-37w,26522587.559914287
GTC,2018-37w,18189520.216085713
CMT,2018-37w,28182625.90600207
DLC,2018-37w,61549.63950245715
XMR,2018-37w,1830353906.7442856
MUNT,2018-37w,11031052.260485714
DRGN,2018-37w,51729011.85044285
XVG,2018-37w,199323063.75242856
SONG,2018-37w,18468.004934914286
RDN,2018-37w,21967271.330585714
LTCU,2018-37w,10136.327997587143
PPT,2018-37w,125890818.40542857
BCN,2018-37w,353169530.40999997
UBQ,2018-37w,23403888.77338571
CHSB,2018-37w,4652216.8720328575
QRK,2018-37w,2088824.9015514287
ZINC,2018-37w,262565.3625717143
KURT,2018-37w,87165.91175987142
SUB,2018-37w,41292465.32071429
WDC,2018-37w,416132.880571
XLM,2018-37w,3782173473.38
RUP,2018-37w,325515.08051199996
HTML,2018-37w,5768253.25711
START,2018-37w,278062.41783085716
XPY,2018-37w,168477.384521
ALIAS,2018-37w,4707799.960864286
ACT,2018-37w,20607217.19872857
TZC,2018-37w,586470.8704988571
CJ,2018-37w,105838.92036271429
MST,2018-37w,61702.94938732857
PRE,2018-37w,14524682.42857143
FLIXX,2018-37w,2372983.1112714284
CLAM,2018-37w,7696999.235082857
INSN,2018-37w,295946.14866014285
DAG,2018-37w,6306986.604738572
NBC,2018-37w,4486447.011235714
CND,2018-37w,28484334.16647143
STX,2018-37w,3590865.7919914285
EDGE,2018-37w,5891050.909997143
LRC,2018-37w,54993665.7505
REM,2018-37w,3276873.4810514287
RUFF,2018-37w,16958276.845714286
GCC,2018-37w,36532.0883464
AIT,2018-37w,3216501.427165714
HVCO,2018-37w,66197.41941785715
XMY,2018-37w,4639868.97819
LOC,2018-37w,4279271.44851
TNS,2018-37w,129666.97436971428
PEX,2018-37w,22837.641768100002
GAS,2018-37w,57678940.3304
TSL,2018-37w,2497831.31295
SKY,2018-37w,33944971.428571425
LNC,2018-37w,2318759.8095642854
SPC,2018-37w,6313584.969415715
EXRN,2018-37w,3004762.0714285714
PST,2018-37w,9015599.971684286
ADC,2018-37w,761258.8591858571
MTC,2018-37w,14308527.392242858
STORJ,2018-37w,33218806.2251
TRX,2018-37w,1277258508.6514285
ZUR,2018-37w,44685.22455653333
ELTCOIN,2018-37w,94112.29285714286
NTK,2018-37w,2601475.661342857
MYST,2018-37w,2653891.162262857
DPY,2018-37w,8436341.967291428
DOPE,2018-37w,1339749.0534642858
OCN,2018-37w,20257420.0
INN,2018-37w,386449.1499308571
LOG,2018-37w,388041.39715657145
CNNC,2018-37w,25660.87607564
SOUL,2018-37w,1923951.16067
PRIX,2018-37w,1558279.6886671428
D,2018-37w,749652.2484198572
CNT,2018-37w,134788.343483
ADA,2018-37w,1807956853.5828571
SCS,2018-37w,32680.329125714285
PRO,2018-37w,6113705.390098572
COB,2018-37w,9345772.659818571
KZC,2018-37w,153450.61589314285
ETN,2018-37w,42667707.189257145
BCD,2018-37w,298461643.4632857
FIRO,2018-37w,55420606.06715714
COFI,2018-37w,2061131.153104286
LOOM,2018-37w,45674523.18244286
EMC2,2018-37w,13595451.272300001
AIX,2018-37w,611714.2158264286
XMX,2018-37w,3203233.682864286
COLX,2018-37w,7147731.06948
NSD,2018-37w,1418696.4928457143
HUSH,2018-37w,603525.2987749999
CYMT,2018-37w,364208.63999999996
TUBE,2018-37w,6493478.391340001
NAS,2018-37w,63585990.0
BCA,2018-37w,5052042.590177143
GNO,2018-37w,31082973.241714288
PMA,2018-37w,15856932.20342857
EDG,2018-37w,17069361.728514284
QASH,2018-37w,73601750.0
ARO,2018-37w,1173493.1486181428
KMD,2018-37w,113279579.25842857
EUNO,2018-37w,69009.79090292858
VET,2018-37w,772898781.8541429
BLU,2018-37w,1741208.6166357142
SAN,2018-37w,27738090.198571425
BRD,2018-37w,27933646.321971428
IFT,2018-37w,2116670.68758
DGB,2018-37w,261025920.96114284
MFTU,2018-37w,41678.104999999996
ELA,2018-37w,59899260.5976
MOJO,2018-37w,130149.10628025714
NEO,2018-37w,1170354714.2857144
VLT,2018-37w,21505.030457499997
HMQ,2018-37w,5950949.937574285
NCT,2018-37w,5353785.979424286
ARCO,2018-37w,84879.4080245857
BLUE,2018-37w,1463686.2328628574
AVINOC,2018-37w,1134019.1557285713
BOX,2018-37w,8505179.246439999
ARNX,2018-37w,3300300.714285714
STMX,2018-37w,30550925.138828572
STAR,2018-37w,719801.7857142857
TAU,2018-37w,6546874.635734285
MLN,2018-37w,6487652.139428571
XCO,2018-37w,57839.44796688571
XAS,2018-37w,17985971.435214285
RBT,2018-37w,144036.13392257143
WAB,2018-37w,8801762.047294285
PKT,2018-37w,1609120.1996214285
AAC,2018-37w,4289628.571428572
42,2018-37w,991857.9829524286
BLZ,2018-37w,20722028.169585712
XBC,2018-37w,2878473.7020285716
ARB,2018-37w,14247.538825714286
XCP,2018-37w,10193432.55666857
ZCL,2018-37w,18734602.263
MORE,2018-37w,328227.71428571426
PKB,2018-37w,70012.76621931668
BLK,2018-37w,6261535.735597143
MFG,2018-37w,469492.6212684286
ZEN,2018-37w,73229713.6675
VERI,2018-37w,37780674.854985714
SMT,2018-37w,21663956.1842
PLNC,2018-37w,19668.164296
PIVX,2018-37w,51706073.48731429
MNTP,2018-37w,626204.7875311428
PASC,2018-37w,11474476.43567143
2GIVE,2018-37w,1810842.7561414284
BSC,2018-37w,5081.541362928571
GRLC,2018-37w,50916.76459755714
EVIL,2018-37w,129004.22122385715
DGTX,2018-37w,22314710.0
PI,2018-37w,14056886.748957142
ZEC,2018-37w,559336305.5347143
DOGE,2018-37w,748312820.4025714
XBTC21,2018-37w,66378.67230030001
PAC,2018-37w,12585473.796542857
ZCN,2018-37w,3773736.0
DGC,2018-37w,305529.4657848571
DERO,2018-37w,1307954.9523628573
MFT,2018-37w,16951762.085342858
GFT,2018-37w,31614897.888528574
BLOCK,2018-37w,21254439.7818
SUMO,2018-37w,732086.2410692858
IND,2018-37w,1526472.4082342857
AXPR,2018-37w,3520343.285714286
GCR,2018-37w,20987299.120728575
EKT,2018-37w,9690428.57142857
BOUTS,2018-37w,860452.0444191428
ARCT,2018-37w,123285.44063114285
NCash,2018-37w,24236177.908057146
VITE,2018-37w,10164214.925138572
FTX,2018-37w,1265308.7857142857
TAJ,2018-37w,40115.536163614284
BNT,2018-37w,70428320.4827
FUEL,2018-37w,5947652.411248571
AREPA,2018-37w,62310.324937457146
MONK,2018-37w,905536.8441637142
TEN,2018-37w,36919571.428571425
EVC,2018-37w,1908526.7812971429
REV,2018-37w,19581032.271428574
BON,2018-37w,655974.5560867143
NETKO,2018-37w,191650.96586916666
MITH,2018-37w,101280338.37009999
XCN,2018-37w,445930.81617571425
RATING,2018-37w,1389650.1483142858
KIN,2018-37w,51437943.55404286
PIN,2018-37w,5058842.79699
MONA,2018-37w,60392455.27965714
PLAY,2018-37w,1175544.9911085714
HB,2018-37w,1304941.4527385714
EKO,2018-37w,2106592.236768571
ZET,2018-37w,381503.34561614285
NEU,2018-37w,10927181.154742856
FSN,2018-37w,24955545.14932857
FTXT,2018-37w,1068975.103062
STAC,2018-37w,504117.004183
BNTY,2018-37w,1625384.1957328573
MIOTA,2018-37w,1573155372.9657142
VIDZ,2018-37w,99239.76785605
WRC,2018-37w,1037818.8172881429
BOLI,2018-37w,85050.96009241429
ARGUS,2018-37w,5672.112185375714
NEVA,2018-37w,65732.0717495
IDH,2018-37w,2735340.0441057147
HC,2018-37w,98184319.08692858
XBP,2018-37w,454262.604128
TENT,2018-37w,756714.1785708572
MINT,2018-37w,2689037.800505714
BMX,2018-37w,3133025.484132857
BFT,2018-37w,26544857.831485715
STEEM,2018-37w,205255486.349
FYP,2018-37w,840800.3939264286
ENG,2018-37w,43328143.86625714
FUN,2018-37w,70524180.6617
DIME,2018-37w,5298627.835322857
ARDR,2018-37w,97843366.32537143
OMG,2018-37w,476599743.51714283
ODE,2018-37w,41862707.0197
VIA,2018-37w,14347978.454642858
XBY,2018-37w,12785171.57142857
MKR,2018-37w,267102772.077
VGX,2018-37w,25770645.10785714
RCN,2018-37w,10411379.177285714
VIB,2018-37w,5373923.142399999
VTC,2018-37w,30538446.216757145
SALT,2018-37w,30599969.6525
VIBE,2018-37w,8217841.25339
PLBT,2018-37w,6752661.043491429
AST,2018-37w,10418042.142857144
DFT,2018-37w,238110.20013385714
SNC,2018-37w,4179999.7486271425
BNB,2018-37w,923656447.213143
KLKS,2018-37w,520422.5507725714
PAK,2018-37w,135280.31518414285
MITX,2018-37w,1008115.6000124285
DNT,2018-37w,12156120.0
EOSDAC,2018-37w,12097775.971114287
ARK,2018-37w,68019493.70989999
XTZ,2018-37w,883227448.7081429
HAND,2018-37w,810615.9659814285
SEELE,2018-37w,18244553.05915714
VIN,2018-37w,1757407.082097143
VOLT,2018-37w,9436.297896452857
INK,2018-37w,8969232.872884287
INXT,2018-37w,1699767.6765457143
MOTO,2018-37w,236851.4079887143
BITS,2018-37w,502608.9425631428
SMLY,2018-37w,546748.45439
ZIPT,2018-37w,1050112.0280867142
XAP,2018-37w,1377537.309237857
DNA,2018-37w,2993433.670937143
SKM,2018-37w,3789513.4163914286
PART,2018-37w,21472759.473885715
BSD,2018-37w,2765019.1196885714
FUZZ,2018-37w,24666.225518442858
EFX,2018-37w,1970060.64133
TEL,2018-37w,25993027.962014288
SANDG,2018-37w,3017.3398590814286
ASAFE,2018-37w,119659.40918257143
DEM,2018-37w,280121.049264
BITB,2018-37w,7650151.60496
OXEN,2018-37w,5358556.917967143
BIS,2018-37w,5233193.345791428
DENT,2018-37w,38066913.75291429
KNCL,2018-37w,49621413.97675715
GLC,2018-37w,1738445.7588571426
XBI,2018-37w,520921.33418899996
GET,2018-37w,5362909.486294285
XDC,2018-37w,4716146.213085714
ENJ,2018-37w,30465946.671685714
MYB,2018-37w,1763080.9665585714
PLR,2018-37w,16624004.795614285
MOBI,2018-37w,8950279.662501428
BIX,2018-37w,44337990.4532
TDX,2018-37w,207252.93800114287
BSTY,2018-37w,72220.84158532857
MOC,2018-37w,5788790.162408571
ZSC,2018-37w,4453825.550188571
PLU,2018-37w,1299514.4498657142
DVPN,2018-37w,4191825.7125128573
MNW,2018-37w,3094060.7608185713
SKB,2018-37w,16367055.525957141
SC,2018-37w,198134411.12914285
OCT,2018-37w,5001060.0
MVP,2018-37w,2244947.4878342855
GRID,2018-37w,5803032.177195714
NEBL,2018-37w,23473083.48817143
HNC,2018-37w,273603.3397501429
MET,2018-37w,12269513.736642856
VEE,2018-37w,21255018.819342855
PINK,2018-37w,2224661.9641942857
BITG,2018-37w,7825172.103069999
DOCK,2018-37w,6931260.553877143
FTC,2018-37w,10566877.274971427
EUC,2018-37w,31088.693198475
NEXO,2018-37w,26904352.480428573
BTA,2018-37w,180451.71629357143
SMART,2018-37w,26988934.325942855
VEC2,2018-37w,25268.58750955
DFT,2018-38w,222869.75459157143
PAK,2018-38w,133679.0709052857
XMR,2018-38w,1909574690.5
CND,2018-38w,32688593.73007143
MITX,2018-38w,1140381.8889842858
EDGE,2018-38w,6267066.070081429
AIX,2018-38w,576802.6389032857
KZC,2018-38w,191876.5408517143
DRGN,2018-38w,59122169.66734286
DLC,2018-38w,52482.7217655
EUC,2018-38w,29646.386233516667
XMX,2018-38w,2337857.4046585714
MUNT,2018-38w,11546869.498657143
CMT,2018-38w,31828696.95566293
XBY,2018-38w,12391340.714285715
JUP,2018-38w,933100.8648617143
PZM,2018-38w,23977835.38784286
BNB,2018-38w,1024210395.9204285
XBI,2018-38w,749004.9630768572
GTC,2018-38w,18446159.541385714
COLX,2018-38w,7375728.385374285
CYMT,2018-38w,390538.28571428574
MOBI,2018-38w,10120521.407531427
MOC,2018-38w,6301299.214545714
STX,2018-38w,4068036.893535714
LRC,2018-38w,55943267.799971424
FUN,2018-38w,85892022.55507144
OMG,2018-38w,475405654.1265715
ONX,2018-38w,255959.62401442855
STEEM,2018-38w,232560831.14928573
ADA,2018-38w,2028699191.3700001
SCS,2018-38w,13311.233780928571
VTC,2018-38w,32019277.482499998
CNT,2018-38w,151745.1303757143
LCC,2018-38w,17118688.3282
PRO,2018-38w,6657329.556720001
SKB,2018-38w,14606879.066371428
BCD,2018-38w,282493113.38385713
COB,2018-38w,9686792.447164284
BMX,2018-38w,3137113.9873657143
IBANK,2018-38w,8918.08038748
FIRO,2018-38w,52849915.17614286
QKC,2018-38w,30907051.46022857
XTZ,2018-38w,976352047.3111428
SALT,2018-38w,32607118.44392857
ETN,2018-38w,65667258.3347
TRAC,2018-38w,8490969.162005713
BITB,2018-38w,7812147.9676685715
ARK,2018-38w,73622137.89815713
ADS,2018-38w,3858899.874638572
CNNC,2018-38w,23455.9139774
AEON,2018-38w,11981974.392200002
LOOM,2018-38w,50660843.4102
SOUL,2018-38w,1906424.6124828572
D,2018-38w,1366675.0287995713
QBC,2018-38w,54306.55214214286
EMC2,2018-38w,13392217.988885714
COFI,2018-38w,2157445.786025714
TDX,2018-38w,193990.51919371428
PRIX,2018-38w,1270484.073407143
IGNIS,2018-38w,30252731.894285712
PRIV,2018-38w,155905.01638242858
NRG,2018-38w,1610681.7053742856
LSK,2018-38w,380300107.81942856
TZC,2018-38w,529735.1744982857
VIKKY,2018-38w,395984.35012125
SPR,2018-38w,1077391.9488271428
CJ,2018-38w,102253.74053532856
ACT,2018-38w,21547157.1264
WICC,2018-38w,38449895.6146
MST,2018-38w,61438.988651585714
ARGUS,2018-38w,5710.984594862857
LBA,2018-38w,8408115.127475714
IMT,2018-38w,10345971.19935
FLIXX,2018-38w,2104626.5059214286
TEN,2018-38w,33269228.57142857
CLAM,2018-38w,6315639.146602857
DAG,2018-38w,6190684.261045715
INSN,2018-38w,253209.95554842855
MONA,2018-38w,71001972.60474285
TOTO,2018-38w,242900.1979488
ETC,2018-38w,1160299269.5585713
DOCK,2018-38w,8499578.396595715
BNTY,2018-38w,1584683.33897
ALIAS,2018-38w,4704512.919812857
INXT,2018-38w,1869657.9178585713
ZET,2018-38w,422697.7226324286
SUB,2018-38w,43056156.6475
ADZ,2018-38w,437055.66234885715
QASH,2018-38w,75948850.0
EKO,2018-38w,2305722.31098
WDC,2018-38w,406415.3292241428
KURT,2018-38w,53418.28896358572
PART,2018-38w,21076951.479885716
CTXC,2018-38w,44931210.728614286
PINK,2018-38w,2162344.7153942855
RUP,2018-38w,303526.440212
FTXT,2018-38w,477123.4671177143
HTML,2018-38w,7665926.858855714
XPY,2018-38w,141141.8606198
START,2018-38w,238993.24936428573
WRC,2018-38w,911855.2647277144
TCT,2018-38w,13236927.140685713
XLM,2018-38w,4330453820.895715
NBC,2018-38w,4007450.70214
LTCU,2018-38w,10465.694278612858
PIN,2018-38w,4349093.010874285
EXP,2018-38w,3925096.03406
BCH,2018-38w,7977057034.975715
