close_time_date,symbol,close,MA7,PRMA7,,是否在cex案例文档中,,不在此筛选文档中，但在cex案例文档中
2023/10/1,GFTUSDT,0.02719,0.024835714285714287,0.09479436295657173,,,,CKB
2023/10/1,ARKMUSDT,0.4156,0.3871428571428571,0.07350553505535062,,yes,,AMP
2023/10/1,RUNEUSDT,1.925,1.815,0.06060606060606055,,yes,,AUCTION
2023/10/1,BICOUSDT,0.2489,0.22504285714285713,0.10601155335491663,,,,JASMY
2023/10/1,CHZUSDT,0.0619,0.05852857142857143,0.05760312423724678,,,,DEXE
2023/10/2,COMBOUSDT,0.698,0.6052857142857143,0.15317441586027836,,,,RSR
2023/10/2,EDUUSDT,0.49306,0.4583585714285715,0.07570803893395972,,,,VTHO
2023/10/2,RAYUSDT,0.1804,0.17152857142857142,0.051719830099108854,,yes,,DUSK
2023/10/2,GRTUSDT,0.0933,0.08814285714285715,0.0585089141004862,,yes,,SYN
2023/10/2,OGNUSDT,0.1398,0.10685714285714286,0.308288770053476,,yes,,ERN
2023/10/3,DARUSDT,0.09456,0.08813714285714284,0.07287344398340267,,,,NULS
2023/10/3,LOKAUSDT,0.1999,0.1891857142857143,0.05663369327191714,,,,FLUX
2023/10/3,FUNUSDT,0.004425,0.004138857142857143,0.06913571724423573,,,,LPT
2023/10/3,XVSUSDT,5.12,4.744285714285715,0.07919301415236357,,,,LTO
2023/10/3,DYDXUSDT,2.051,1.9514285714285715,0.051024890190336736,,,,SYS
2023/10/4,SOLUSDT,23.6,21.655714285714286,0.08978164786595433,,yes,,DATA
2023/10/4,MATICUSDT,0.5666,0.5378285714285714,0.053495537611559785,,,,TFUEL
2023/10/4,BAKEUSDT,0.133,0.12272857142857142,0.08369223606099419,,,,PROM
2023/10/4,LQTYUSDT,1.032,0.9741428571428571,0.05939287285525752,,,,ANKR
2023/10/4,SLPUSDT,0.001645,0.0014712857142857145,0.1180697155063597,,yes,,HIGH
2023/10/5,TWTUSDT,0.8716,0.7978571428571428,0.09242614145031336,,,,
2023/10/5,LQTYUSDT,1.114,1.0022857142857142,0.11145952109464097,,,,
2023/10/5,RNDRUSDT,1.722,1.624142857142857,0.06025156126308384,,,,
2023/10/5,GALAUSDT,0.01567,0.01471142857142857,0.06515828316177918,,yes,,
2023/10/5,RAYUSDT,0.1905,0.1785142857142857,0.06714148527528807,,yes,,
2023/10/6,LOOMUSDT,0.17168,0.13481,0.27349603145167256,,,,
2023/10/6,TWTUSDT,0.975,0.8264000000000001,0.17981606969990294,,,,
2023/10/6,STPTUSDT,0.06762,0.060764285714285715,0.11282473257317505,,,,
2023/10/6,LQTYUSDT,1.134,1.0344285714285715,0.09625742300787166,,,,
2023/10/6,AVAXUSDT,10.14,9.59,0.05735140771637126,,yes,,
2023/10/7,AVAXUSDT,10.66,9.802857142857144,0.0874380647041677,,yes,,
2023/10/7,ARKUSDT,0.5606,0.49272857142857146,0.13774607868719357,,,,
2023/10/7,BAKEUSDT,0.1446,0.12927142857142856,0.11857663830257503,,,,
2023/10/7,BNXUSDT,0.2325,0.21278571428571427,0.09264853977844933,,yes,,
2023/10/7,TWTUSDT,0.9351,0.8484714285714287,0.10209957402387482,,,,
2023/10/8,RNDRUSDT,1.834,1.737,0.05584340817501432,,,,
2023/10/8,QKCUSDT,0.008798,0.008172142857142857,0.07658421466655008,,,,
2023/10/8,STRAXUSDT,0.735,0.5491428571428572,0.33844953173777315,,,,
2023/10/8,BAKEUSDT,0.151,0.13437142857142856,0.12375079736338512,,,,
2023/10/8,ACMUSDT,1.927,1.8175714285714286,0.060205926275249455,,,,
2023/10/9,TUSDT,0.01982,0.018784285714285715,0.05513727279641034,,,,
2023/10/9,LOOMUSDT,0.17145,0.14789000000000002,0.15930759348164147,,,,
2023/10/9,TWTUSDT,1.0034,0.9121285714285714,0.10006421400491794,,,,
2023/10/9,BNXUSDT,0.2299,0.21567142857142857,0.06597337219315103,,yes,,
2023/10/9,BAKEUSDT,0.1527,0.1375,0.1105454545454545,,,,
2023/10/10,STORJUSDT,0.5155,0.4598142857142857,0.12110479386087558,,,,
